Id,Area,Type,Bedrooms,Floors,Parking,YearBuilt,Range,Location,Condition,Garage, Price 
I0545,4636,4 BHK,4,2,No,1986,1981-2000,Urban,Good,Yes," $5,35,119.00 "
I0546,4275,4 BHK,4,3,Yes,2020,2001-2020,Rural,Poor,Yes," $3,28,496.00 "
I0547,3008,4 BHK,4,2,No,1901,1900-1920,Suburban,Fair,Yes," $7,00,009.00 "
I0548,3279,4 BHK,4,2,No,2003,2001-2020,Rural,Fair,Yes," $3,09,291.00 "
I0549,1424,2 BHK,2,1,No,2004,2001-2020,Downtown,Good,Yes," $4,88,866.00 "
I0550,3456,4 BHK,4,1,No,1926,1921-1940,Urban,Excellent,No," $4,53,562.00 "
I0551,2081,3 BHK,3,2,No,1998,1981-2000,Downtown,Good,No," $7,30,516.00 "
I0552,3824,4 BHK,4,2,No,1901,1900-1920,Suburban,Poor,No," $1,05,904.00 "
I0553,4985,4 BHK,4,1,No,2002,2001-2020,Downtown,Excellent,Yes," $9,81,539.00 "
I0554,755,1 BHK,1,1,No,2000,1981-2000,Urban,Excellent,Yes," $9,58,573.00 "
I0555,2338,3 BHK,3,1,No,1920,1900-1920,Suburban,Poor,Yes," $3,28,252.00 "
I0556,2444,3 BHK,3,3,Yes,1957,1941-1960,Suburban,Fair,Yes," $5,72,247.00 "
I0557,509,1 BHK,1,3,Yes,1904,1900-1920,Urban,Poor,Yes," $8,39,285.00 "
I0558,3371,4 BHK,4,1,No,1951,1941-1960,Urban,Good,Yes," $3,96,300.00 "
I0559,1297,2 BHK,2,2,No,1944,1941-1960,Urban,Poor,No," $3,16,320.00 "
I0560,1515,2 BHK,2,1,No,1984,1981-2000,Downtown,Fair,Yes," $6,74,747.00 "
I0561,2324,3 BHK,3,3,Yes,1992,1981-2000,Rural,Poor,No," $4,69,136.00 "
I0562,4969,4 BHK,4,2,No,1919,1900-1920,Downtown,Good,Yes," $2,35,922.00 "
I0563,3636,4 BHK,4,3,Yes,1960,1941-1960,Downtown,Good,No," $1,87,901.00 "
I0564,2693,4 BHK,4,2,No,1937,1921-1940,Rural,Fair,Yes," $1,73,225.00 "
I0565,723,1 BHK,1,3,Yes,1919,1900-1920,Urban,Good,No," $5,43,406.00 "
I0566,4658,4 BHK,4,2,No,2013,2001-2020,Urban,Good,No," $8,10,135.00 "
I0567,4425,4 BHK,4,2,No,1924,1921-1940,Rural,Poor,Yes," $2,71,738.00 "
I0568,4500,4 BHK,4,2,No,1901,1900-1920,Rural,Excellent,Yes," $9,54,890.00 "
I0569,2133,3 BHK,3,2,No,2020,2001-2020,Downtown,Good,No," $6,85,181.00 "
I0570,2652,4 BHK,4,3,Yes,1931,1921-1940,Suburban,Good,Yes," $9,10,359.00 "
I0571,1010,2 BHK,2,3,Yes,1925,1921-1940,Rural,Fair,Yes," $5,28,076.00 "
I0572,884,2 BHK,2,2,No,1969,1961-1980,Downtown,Fair,Yes," $9,54,610.00 "
I0573,904,2 BHK,2,2,No,1940,1921-1940,Suburban,Poor,No," $2,92,726.00 "
I0574,2500,3 BHK,3,3,Yes,2020,2001-2020,Urban,Poor,Yes," $3,52,811.00 "
I0575,3256,4 BHK,4,2,No,1966,1961-1980,Urban,Good,No," $7,71,202.00 "
I0576,2168,3 BHK,3,2,No,1996,1981-2000,Downtown,Excellent,No," $4,79,059.00 "
I0577,1960,3 BHK,3,2,No,1900,1900-1920,Downtown,Excellent,Yes," $7,56,168.00 "
I0578,4136,4 BHK,4,1,No,1950,1941-1960,Rural,Poor,No," $4,73,759.00 "
I0579,3224,4 BHK,4,2,No,1904,1900-1920,Urban,Fair,Yes," $5,15,996.00 "
I0580,4678,4 BHK,4,1,No,1912,1900-1920,Downtown,Good,Yes," $56,611.00 "
I0581,2548,4 BHK,4,2,No,1918,1900-1920,Urban,Good,No," $4,00,386.00 "
I0582,4646,4 BHK,4,3,Yes,1911,1900-1920,Urban,Excellent,No," $9,21,044.00 "
I0583,1216,2 BHK,2,1,No,1947,1941-1960,Rural,Poor,No," $8,83,334.00 "
I0584,2323,3 BHK,3,1,No,1924,1921-1940,Suburban,Excellent,No," $8,21,812.00 "
I0585,2581,4 BHK,4,2,No,1956,1941-1960,Rural,Excellent,No," $3,45,187.00 "
I0586,3919,4 BHK,4,2,No,2014,2001-2020,Downtown,Poor,Yes," $1,86,343.00 "
I0587,2074,3 BHK,3,1,No,1934,1921-1940,Rural,Fair,No," $9,09,299.00 "
I0588,749,1 BHK,1,3,Yes,1975,1961-1980,Rural,Good,Yes," $3,89,233.00 "
I0589,1173,2 BHK,2,3,Yes,1993,1981-2000,Urban,Fair,Yes," $8,95,177.00 "
I0590,2665,4 BHK,4,2,No,1904,1900-1920,Rural,Poor,No," $5,40,092.00 "
I0591,1270,2 BHK,2,3,Yes,1997,1981-2000,Downtown,Poor,No," $2,40,191.00 "
I0592,4462,4 BHK,4,3,Yes,1921,1921-1940,Suburban,Good,No," $7,16,933.00 "
I0593,4863,4 BHK,4,2,No,2002,2001-2020,Rural,Fair,No," $7,26,769.00 "
I0594,2484,3 BHK,3,3,Yes,1976,1961-1980,Rural,Good,No," $9,22,402.00 "
I0595,1577,2 BHK,2,2,No,1956,1941-1960,Suburban,Excellent,Yes," $3,36,608.00 "
I0596,735,1 BHK,1,1,No,1946,1941-1960,Downtown,Excellent,Yes," $2,99,220.00 "
I0597,888,2 BHK,2,2,No,1953,1941-1960,Downtown,Excellent,Yes," $4,86,056.00 "
I0598,3537,4 BHK,4,1,No,1902,1900-1920,Rural,Fair,No," $6,92,811.00 "
I0599,2348,3 BHK,3,1,No,2023,2021-2040,Urban,Excellent,No," $5,94,950.00 "
I0600,3314,4 BHK,4,3,Yes,1952,1941-1960,Rural,Good,Yes," $8,54,660.00 "
I0601,3874,4 BHK,4,3,Yes,1983,1981-2000,Suburban,Fair,No," $6,35,009.00 "
I0602,3778,4 BHK,4,3,Yes,1930,1921-1940,Suburban,Good,No," $7,12,746.00 "
I0603,1752,3 BHK,3,2,No,1968,1961-1980,Suburban,Poor,No," $8,43,294.00 "
I0604,4481,4 BHK,4,3,Yes,1987,1981-2000,Rural,Fair,Yes," $6,14,396.00 "
I0605,2622,4 BHK,4,1,No,2003,2001-2020,Rural,Good,No," $1,41,788.00 "
I0606,2650,4 BHK,4,3,Yes,2017,2001-2020,Downtown,Good,Yes," $5,18,239.00 "
I0607,1829,3 BHK,3,3,Yes,1932,1921-1940,Urban,Fair,No," $2,94,437.00 "
I0608,1858,3 BHK,3,2,No,1971,1961-1980,Rural,Poor,No," $8,11,299.00 "
I0609,2982,4 BHK,4,2,No,1987,1981-2000,Downtown,Fair,Yes," $9,16,572.00 "
I0610,2517,4 BHK,4,1,No,1949,1941-1960,Rural,Excellent,No," $7,32,561.00 "
I0611,1831,3 BHK,3,2,No,1983,1981-2000,Downtown,Excellent,No," $9,05,010.00 "
I0612,4844,4 BHK,4,3,Yes,2023,2021-2040,Downtown,Poor,No," $99,966.00 "
I0613,4761,4 BHK,4,2,No,1915,1900-1920,Urban,Good,Yes," $2,35,846.00 "
I0614,1858,3 BHK,3,1,No,2013,2001-2020,Rural,Good,No," $3,22,530.00 "
I0615,3677,4 BHK,4,3,Yes,2015,2001-2020,Downtown,Good,No," $6,51,516.00 "
I0616,2628,4 BHK,4,1,No,1975,1961-1980,Suburban,Fair,No," $1,96,297.00 "
I0617,2680,4 BHK,4,2,No,1976,1961-1980,Suburban,Fair,No," $4,59,909.00 "
I0618,637,1 BHK,1,2,No,2008,2001-2020,Suburban,Poor,No," $3,84,341.00 "
I0619,3972,4 BHK,4,1,No,2005,2001-2020,Urban,Excellent,Yes," $93,021.00 "
I0620,3332,4 BHK,4,3,Yes,1938,1921-1940,Downtown,Good,Yes," $4,31,059.00 "
I0621,4079,4 BHK,4,2,No,1988,1981-2000,Urban,Excellent,No," $1,99,333.00 "
I0622,3531,4 BHK,4,2,No,1945,1941-1960,Rural,Fair,No," $4,70,594.00 "
I0623,4664,4 BHK,4,3,Yes,1995,1981-2000,Rural,Fair,Yes," $9,53,606.00 "
I0624,3093,4 BHK,4,2,No,1987,1981-2000,Downtown,Fair,No," $8,26,934.00 "
I0625,4800,4 BHK,4,1,No,2011,2001-2020,Suburban,Excellent,No," $1,36,755.00 "
I0626,4318,4 BHK,4,2,No,1946,1941-1960,Downtown,Poor,No," $9,79,441.00 "
I0627,4638,4 BHK,4,2,No,1943,1941-1960,Downtown,Poor,No," $1,16,330.00 "
I0628,4323,4 BHK,4,3,Yes,1908,1900-1920,Downtown,Fair,No," $7,52,726.00 "
I0629,4542,4 BHK,4,1,No,2003,2001-2020,Urban,Good,No," $9,08,754.00 "
I0630,2406,3 BHK,3,3,Yes,2013,2001-2020,Rural,Excellent,No," $9,38,750.00 "
I0631,1260,2 BHK,2,2,No,1986,1981-2000,Downtown,Fair,No," $6,19,601.00 "
I0632,3945,4 BHK,4,2,No,1949,1941-1960,Downtown,Excellent,Yes," $2,84,729.00 "
I0633,1399,2 BHK,2,3,Yes,1976,1961-1980,Downtown,Excellent,Yes," $8,07,071.00 "
I0634,4955,4 BHK,4,3,Yes,1959,1941-1960,Urban,Poor,No," $3,39,176.00 "
I0635,3447,4 BHK,4,3,Yes,2022,2021-2040,Urban,Fair,No," $5,35,179.00 "
I0636,2219,3 BHK,3,1,No,1995,1981-2000,Urban,Poor,No," $1,98,430.00 "
I0637,780,1 BHK,1,2,No,2013,2001-2020,Downtown,Fair,No," $8,98,142.00 "
I0638,3766,4 BHK,4,3,Yes,1914,1900-1920,Suburban,Excellent,Yes," $4,07,470.00 "
I0639,2387,3 BHK,3,2,No,1935,1921-1940,Suburban,Poor,Yes," $3,98,301.00 "
I0640,3766,4 BHK,4,1,No,2012,2001-2020,Suburban,Excellent,Yes," $4,92,037.00 "
I0641,1166,2 BHK,2,1,No,1962,1961-1980,Rural,Fair,Yes," $78,365.00 "
I0642,4688,4 BHK,4,1,No,1968,1961-1980,Downtown,Good,No," $3,25,333.00 "
I0643,1171,2 BHK,2,1,No,1985,1981-2000,Suburban,Poor,No," $5,19,965.00 "
I0644,2469,3 BHK,3,2,No,1979,1961-1980,Suburban,Poor,No," $5,81,536.00 "
I0645,4656,4 BHK,4,1,No,1940,1921-1940,Suburban,Excellent,Yes," $54,369.00 "
I0646,3622,4 BHK,4,1,No,1973,1961-1980,Downtown,Excellent,No," $5,06,979.00 "
I0647,4400,4 BHK,4,3,Yes,1923,1921-1940,Suburban,Good,No," $9,75,554.00 "
I0648,1023,2 BHK,2,1,No,1981,1981-2000,Suburban,Poor,Yes," $8,65,037.00 "
I0649,2893,4 BHK,4,3,Yes,1948,1941-1960,Downtown,Fair,Yes," $8,86,048.00 "
I0650,3617,4 BHK,4,1,No,1917,1900-1920,Rural,Fair,Yes," $4,97,695.00 "
I0651,3093,4 BHK,4,1,No,1906,1900-1920,Urban,Poor,Yes," $4,15,863.00 "
I0652,2468,3 BHK,3,3,Yes,1903,1900-1920,Suburban,Poor,Yes," $2,21,955.00 "
I0653,2253,3 BHK,3,1,No,1989,1981-2000,Urban,Poor,No," $6,07,343.00 "
I0654,2796,4 BHK,4,2,No,1968,1961-1980,Rural,Good,No," $7,74,091.00 "
I0655,2761,4 BHK,4,2,No,1959,1941-1960,Rural,Fair,Yes," $4,28,824.00 "
I0656,2786,4 BHK,4,1,No,1954,1941-1960,Suburban,Fair,No," $3,19,594.00 "
I0657,4702,4 BHK,4,2,No,1915,1900-1920,Downtown,Excellent,No," $1,83,997.00 "
I0658,3378,4 BHK,4,3,Yes,1998,1981-2000,Rural,Excellent,No," $5,23,267.00 "
I0659,4643,4 BHK,4,1,No,1989,1981-2000,Urban,Poor,No," $1,00,272.00 "
I0660,4144,4 BHK,4,1,No,1981,1981-2000,Urban,Excellent,Yes," $55,310.00 "
I0661,4932,4 BHK,4,3,Yes,1928,1921-1940,Urban,Good,No," $81,817.00 "
I0662,2555,4 BHK,4,3,Yes,1922,1921-1940,Urban,Fair,No," $5,58,350.00 "
I0663,1776,3 BHK,3,3,Yes,2016,2001-2020,Rural,Fair,No," $5,36,160.00 "
I0664,3266,4 BHK,4,1,No,1913,1900-1920,Suburban,Excellent,Yes," $4,87,744.00 "
I0665,802,2 BHK,2,3,Yes,1978,1961-1980,Suburban,Poor,No," $7,90,176.00 "
I0666,1138,2 BHK,2,3,Yes,1948,1941-1960,Urban,Excellent,Yes," $1,32,641.00 "
I0667,555,1 BHK,1,2,No,1932,1921-1940,Suburban,Poor,Yes," $7,89,443.00 "
I0668,1025,2 BHK,2,2,No,1924,1921-1940,Urban,Good,Yes," $7,81,670.00 "
I0669,4623,4 BHK,4,1,No,1920,1900-1920,Urban,Fair,Yes," $5,89,745.00 "
I0670,2625,4 BHK,4,2,No,1916,1900-1920,Downtown,Good,No," $92,311.00 "
I0671,3787,4 BHK,4,2,No,1922,1921-1940,Rural,Fair,Yes," $9,71,484.00 "
I0672,864,2 BHK,2,3,Yes,1956,1941-1960,Rural,Good,Yes," $2,01,958.00 "
I0673,2146,3 BHK,3,3,Yes,2006,2001-2020,Urban,Excellent,Yes," $5,20,328.00 "
I0674,1418,2 BHK,2,2,No,1980,1961-1980,Rural,Good,Yes," $4,94,093.00 "
I0675,3297,4 BHK,4,2,No,1957,1941-1960,Suburban,Good,Yes," $6,97,861.00 "
I0676,2031,3 BHK,3,2,No,1913,1900-1920,Urban,Excellent,No," $4,09,571.00 "
I0677,3845,4 BHK,4,1,No,1992,1981-2000,Downtown,Fair,Yes," $8,72,613.00 "
I0678,2406,3 BHK,3,1,No,1919,1900-1920,Suburban,Fair,No," $2,14,334.00 "
I0679,3586,4 BHK,4,1,No,1929,1921-1940,Downtown,Excellent,No," $9,68,451.00 "
I0680,2575,4 BHK,4,2,No,1918,1900-1920,Downtown,Good,Yes," $4,43,238.00 "
I0681,1213,2 BHK,2,2,No,1952,1941-1960,Rural,Good,No," $8,37,560.00 "
I0682,1562,2 BHK,2,1,No,2002,2001-2020,Rural,Good,No," $6,53,810.00 "
I0683,2476,3 BHK,3,1,No,1955,1941-1960,Urban,Poor,No," $2,13,394.00 "
I0684,1796,3 BHK,3,2,No,1976,1961-1980,Rural,Fair,Yes," $98,929.00 "
I0685,625,1 BHK,1,3,Yes,1981,1981-2000,Downtown,Good,Yes," $6,55,984.00 "
I0686,4096,4 BHK,4,1,No,1922,1921-1940,Downtown,Fair,Yes," $4,27,389.00 "
I0687,3783,4 BHK,4,2,No,1961,1961-1980,Suburban,Good,Yes," $8,46,240.00 "
I0688,2103,3 BHK,3,2,No,2009,2001-2020,Downtown,Excellent,Yes," $6,69,436.00 "
I0689,566,1 BHK,1,3,Yes,1932,1921-1940,Urban,Excellent,Yes," $4,96,098.00 "
I0690,732,1 BHK,1,2,No,2002,2001-2020,Urban,Fair,Yes," $8,58,157.00 "
I0691,2656,4 BHK,4,2,No,2003,2001-2020,Rural,Fair,No," $3,84,678.00 "
I0692,1669,3 BHK,3,1,No,1917,1900-1920,Rural,Excellent,No," $3,52,094.00 "
I0693,2658,4 BHK,4,1,No,1972,1961-1980,Rural,Poor,Yes," $7,94,314.00 "
I0694,4706,4 BHK,4,3,Yes,1932,1921-1940,Urban,Excellent,No," $1,33,576.00 "
I0695,1993,3 BHK,3,3,Yes,1931,1921-1940,Downtown,Good,Yes," $70,557.00 "
I0696,4507,4 BHK,4,2,No,1960,1941-1960,Rural,Poor,Yes," $5,96,113.00 "
I0697,2972,4 BHK,4,1,No,1953,1941-1960,Suburban,Excellent,Yes," $3,21,142.00 "
I0698,3160,4 BHK,4,3,Yes,1916,1900-1920,Rural,Poor,No," $86,080.00 "
I0699,3239,4 BHK,4,3,Yes,1918,1900-1920,Urban,Poor,Yes," $8,33,103.00 "
I0700,2261,3 BHK,3,3,Yes,1990,1981-2000,Rural,Poor,Yes," $2,38,869.00 "
I0701,4014,4 BHK,4,2,No,1969,1961-1980,Downtown,Fair,Yes," $7,21,162.00 "
I0702,2475,3 BHK,3,1,No,1998,1981-2000,Rural,Excellent,Yes," $9,78,671.00 "
I0703,2862,4 BHK,4,3,Yes,2019,2001-2020,Urban,Fair,No," $5,43,844.00 "
I0704,1376,2 BHK,2,1,No,2000,1981-2000,Urban,Fair,Yes," $6,16,695.00 "
I0705,4312,4 BHK,4,3,Yes,1933,1921-1940,Suburban,Good,No," $1,70,283.00 "
I0706,3948,4 BHK,4,3,Yes,1983,1981-2000,Urban,Good,No," $63,338.00 "
I0707,1812,3 BHK,3,1,No,1924,1921-1940,Suburban,Poor,Yes," $6,50,577.00 "
I0708,1960,3 BHK,3,1,No,1967,1961-1980,Downtown,Poor,Yes," $5,14,736.00 "
I0709,3209,4 BHK,4,1,No,1973,1961-1980,Urban,Good,No," $7,24,255.00 "
I0710,2824,4 BHK,4,2,No,1973,1961-1980,Rural,Good,No," $2,28,982.00 "
I0711,2233,3 BHK,3,3,Yes,1987,1981-2000,Downtown,Excellent,No," $9,67,461.00 "
I0712,2105,3 BHK,3,2,No,1984,1981-2000,Rural,Poor,No," $1,59,367.00 "
I0713,3063,4 BHK,4,1,No,1910,1900-1920,Rural,Poor,Yes," $3,78,042.00 "
I0714,3921,4 BHK,4,3,Yes,1990,1981-2000,Rural,Good,No," $9,70,958.00 "
I0715,4017,4 BHK,4,2,No,1915,1900-1920,Downtown,Excellent,No," $6,91,774.00 "
I0716,2897,4 BHK,4,3,Yes,1989,1981-2000,Downtown,Good,No," $3,98,684.00 "
I0717,4235,4 BHK,4,2,No,1960,1941-1960,Urban,Good,No," $5,44,775.00 "
I0718,3370,4 BHK,4,1,No,1993,1981-2000,Rural,Fair,Yes," $7,88,497.00 "
I0719,1660,3 BHK,3,2,No,2012,2001-2020,Suburban,Poor,Yes," $4,93,853.00 "
I0720,742,1 BHK,1,3,Yes,1979,1961-1980,Urban,Excellent,Yes," $8,30,343.00 "
I0721,3090,4 BHK,4,3,Yes,1906,1900-1920,Downtown,Fair,No," $7,10,709.00 "
I0722,1563,2 BHK,2,3,Yes,1915,1900-1920,Suburban,Poor,No," $9,61,848.00 "
I0723,4824,4 BHK,4,3,Yes,1998,1981-2000,Downtown,Good,Yes," $8,76,395.00 "
I0724,3095,4 BHK,4,1,No,2021,2021-2040,Suburban,Excellent,Yes," $4,50,966.00 "
I0725,1419,2 BHK,2,2,No,1915,1900-1920,Urban,Poor,No," $4,07,073.00 "
I0726,505,1 BHK,1,1,No,1939,1921-1940,Suburban,Good,Yes," $7,27,823.00 "
I0727,967,2 BHK,2,1,No,1911,1900-1920,Urban,Fair,No," $6,49,223.00 "
I0728,4670,4 BHK,4,1,No,1934,1921-1940,Downtown,Excellent,No," $7,64,152.00 "
I0729,503,1 BHK,1,3,Yes,2012,2001-2020,Suburban,Poor,No," $8,50,118.00 "
I0730,1145,2 BHK,2,3,Yes,1920,1900-1920,Rural,Fair,No," $5,49,555.00 "
I0731,617,1 BHK,1,3,Yes,1949,1941-1960,Rural,Good,No," $1,13,528.00 "
I0732,3428,4 BHK,4,2,No,1942,1941-1960,Downtown,Good,No," $6,74,099.00 "
I0733,3051,4 BHK,4,3,Yes,1999,1981-2000,Suburban,Poor,Yes," $5,58,907.00 "
I0734,4789,4 BHK,4,2,No,2011,2001-2020,Rural,Good,Yes," $3,34,931.00 "
I0735,1346,2 BHK,2,3,Yes,1916,1900-1920,Urban,Excellent,Yes," $9,82,280.00 "
I0736,3262,4 BHK,4,3,Yes,1931,1921-1940,Suburban,Poor,No," $4,27,757.00 "
I0737,1641,3 BHK,3,1,No,1940,1921-1940,Suburban,Fair,Yes," $7,62,787.00 "
I0738,2310,3 BHK,3,1,No,1905,1900-1920,Rural,Poor,No," $8,34,429.00 "
I0739,1223,2 BHK,2,1,No,1987,1981-2000,Urban,Poor,No," $1,54,887.00 "
I0740,724,1 BHK,1,2,No,1926,1921-1940,Urban,Fair,No," $1,11,086.00 "
I0741,4708,4 BHK,4,2,No,1919,1900-1920,Urban,Good,No," $9,38,663.00 "
I0742,2548,4 BHK,4,3,Yes,1924,1921-1940,Suburban,Fair,Yes," $3,05,494.00 "
I0743,4915,4 BHK,4,2,No,1965,1961-1980,Downtown,Excellent,Yes," $5,58,889.00 "
I0744,2073,3 BHK,3,3,Yes,1908,1900-1920,Suburban,Good,Yes," $6,37,596.00 "
I0745,2328,3 BHK,3,2,No,1991,1981-2000,Suburban,Poor,No," $3,27,941.00 "
I0746,2417,3 BHK,3,2,No,1952,1941-1960,Rural,Good,Yes," $3,17,446.00 "
I0747,4734,4 BHK,4,2,No,1960,1941-1960,Downtown,Good,Yes," $5,06,388.00 "
I0748,2526,4 BHK,4,1,No,1937,1921-1940,Urban,Excellent,Yes," $6,12,347.00 "
I0749,4244,4 BHK,4,2,No,1902,1900-1920,Rural,Good,No," $1,81,980.00 "
I0750,1401,2 BHK,2,1,No,1983,1981-2000,Suburban,Good,Yes," $7,65,612.00 "
I0751,2539,4 BHK,4,1,No,1969,1961-1980,Downtown,Good,No," $5,23,875.00 "
I0752,509,1 BHK,1,2,No,2002,2001-2020,Urban,Poor,Yes," $1,93,949.00 "
I0753,760,1 BHK,1,3,Yes,1996,1981-2000,Urban,Good,No," $3,26,383.00 "
I0754,2173,3 BHK,3,3,Yes,1954,1941-1960,Suburban,Fair,Yes," $77,313.00 "
I0755,2719,4 BHK,4,3,Yes,1900,1900-1920,Urban,Good,Yes," $92,103.00 "
I0756,2560,4 BHK,4,2,No,2000,1981-2000,Urban,Excellent,Yes," $2,29,480.00 "
I0757,4213,4 BHK,4,3,Yes,1969,1961-1980,Downtown,Good,No," $5,26,467.00 "
I0758,2119,3 BHK,3,1,No,1944,1941-1960,Rural,Good,Yes," $1,38,771.00 "
I0759,820,2 BHK,2,3,Yes,1997,1981-2000,Downtown,Poor,Yes," $1,76,228.00 "
I0760,1842,3 BHK,3,2,No,1946,1941-1960,Rural,Fair,No," $1,41,665.00 "
I0761,2876,4 BHK,4,3,Yes,1978,1961-1980,Rural,Good,No," $8,46,966.00 "
I0762,3332,4 BHK,4,1,No,2008,2001-2020,Rural,Fair,No," $8,79,492.00 "
I0763,3324,4 BHK,4,2,No,1925,1921-1940,Urban,Excellent,No," $8,53,621.00 "
I0764,2494,3 BHK,3,3,Yes,2020,2001-2020,Downtown,Poor,Yes," $9,64,863.00 "
I0765,3458,4 BHK,4,2,No,1913,1900-1920,Urban,Fair,Yes," $6,60,355.00 "
I0766,2538,4 BHK,4,2,No,2021,2021-2040,Suburban,Poor,No," $8,47,399.00 "
I0767,3990,4 BHK,4,2,No,1953,1941-1960,Downtown,Good,Yes," $7,87,351.00 "
I0768,4177,4 BHK,4,3,Yes,1970,1961-1980,Rural,Excellent,No," $9,01,995.00 "
I0769,1618,3 BHK,3,2,No,1945,1941-1960,Urban,Poor,Yes," $3,20,804.00 "
I0770,2104,3 BHK,3,3,Yes,2021,2021-2040,Urban,Good,No," $4,30,815.00 "
I0771,4527,4 BHK,4,1,No,1930,1921-1940,Downtown,Fair,Yes," $5,34,091.00 "
I0772,735,1 BHK,1,3,Yes,1987,1981-2000,Downtown,Excellent,No," $1,79,909.00 "
I0773,2469,3 BHK,3,1,No,1958,1941-1960,Rural,Excellent,No," $4,83,039.00 "
I0774,4929,4 BHK,4,3,Yes,1994,1981-2000,Rural,Fair,Yes," $4,99,058.00 "
I0775,2408,3 BHK,3,2,No,1928,1921-1940,Suburban,Fair,Yes," $1,90,688.00 "
I0776,875,2 BHK,2,3,Yes,2005,2001-2020,Rural,Excellent,Yes," $1,25,976.00 "
I0777,4030,4 BHK,4,2,No,1995,1981-2000,Urban,Poor,No," $8,07,496.00 "
I0778,3135,4 BHK,4,1,No,1916,1900-1920,Suburban,Excellent,Yes," $2,29,810.00 "
I0779,2070,3 BHK,3,3,Yes,1913,1900-1920,Suburban,Fair,No," $3,25,251.00 "
I0780,3060,4 BHK,4,2,No,2003,2001-2020,Suburban,Poor,Yes," $7,66,764.00 "
I0781,3891,4 BHK,4,1,No,1935,1921-1940,Downtown,Good,Yes," $6,68,470.00 "
I0782,3465,4 BHK,4,1,No,1957,1941-1960,Rural,Excellent,No," $8,17,441.00 "
I0783,4143,4 BHK,4,3,Yes,2011,2001-2020,Suburban,Fair,No," $9,28,219.00 "
I0784,4350,4 BHK,4,1,No,1923,1921-1940,Downtown,Good,Yes," $8,52,386.00 "
I0785,1372,2 BHK,2,2,No,2008,2001-2020,Downtown,Excellent,No," $3,29,087.00 "
I0786,1752,3 BHK,3,1,No,1962,1961-1980,Suburban,Excellent,No," $90,725.00 "
I0787,1814,3 BHK,3,1,No,2017,2001-2020,Suburban,Poor,Yes," $8,81,866.00 "
I0788,3398,4 BHK,4,2,No,1990,1981-2000,Urban,Fair,No," $9,22,183.00 "
I0789,577,1 BHK,1,1,No,1924,1921-1940,Suburban,Good,Yes," $5,84,398.00 "
I0790,3121,4 BHK,4,1,No,1958,1941-1960,Urban,Excellent,Yes," $5,48,864.00 "
I0791,4727,4 BHK,4,1,No,1931,1921-1940,Suburban,Poor,No," $3,28,606.00 "
I0792,1100,2 BHK,2,1,No,2015,2001-2020,Suburban,Good,Yes," $3,91,376.00 "
I0793,1565,2 BHK,2,2,No,1981,1981-2000,Rural,Good,No," $7,59,441.00 "
I0794,2636,4 BHK,4,1,No,2009,2001-2020,Suburban,Excellent,Yes," $4,96,015.00 "
I0795,2949,4 BHK,4,2,No,1917,1900-1920,Suburban,Good,No," $6,40,855.00 "
I0796,2843,4 BHK,4,1,No,1936,1921-1940,Urban,Excellent,No," $5,32,517.00 "
I0797,2363,3 BHK,3,1,No,1925,1921-1940,Urban,Poor,No," $7,56,584.00 "
I0798,1818,3 BHK,3,1,No,1908,1900-1920,Rural,Poor,No," $4,39,569.00 "
I0799,4097,4 BHK,4,1,No,2023,2021-2040,Suburban,Good,No," $8,92,495.00 "
I0800,4262,4 BHK,4,2,No,1998,1981-2000,Suburban,Excellent,Yes," $1,63,394.00 "
I0801,2690,4 BHK,4,2,No,1963,1961-1980,Urban,Fair,Yes," $8,91,672.00 "
I0802,1492,2 BHK,2,2,No,1971,1961-1980,Downtown,Poor,No," $9,17,784.00 "
I0803,3212,4 BHK,4,3,Yes,1919,1900-1920,Downtown,Excellent,Yes," $1,98,940.00 "
I0804,2692,4 BHK,4,1,No,1953,1941-1960,Downtown,Excellent,No," $3,93,133.00 "
I0805,1748,3 BHK,3,1,No,2005,2001-2020,Urban,Excellent,No," $72,222.00 "
I0806,3554,4 BHK,4,2,No,1985,1981-2000,Urban,Good,Yes," $1,29,794.00 "
I0807,4533,4 BHK,4,3,Yes,1982,1981-2000,Downtown,Fair,Yes," $6,38,212.00 "
I0808,2497,3 BHK,3,1,No,1929,1921-1940,Downtown,Good,No," $6,74,142.00 "
I0809,4187,4 BHK,4,2,No,1952,1941-1960,Suburban,Poor,No," $9,14,945.00 "
I0810,2651,4 BHK,4,1,No,1991,1981-2000,Urban,Good,No," $8,34,326.00 "
I0811,4518,4 BHK,4,1,No,1998,1981-2000,Urban,Excellent,No," $8,91,081.00 "
I0812,3610,4 BHK,4,2,No,2006,2001-2020,Downtown,Good,No," $4,15,130.00 "
I0813,2470,3 BHK,3,2,No,1962,1961-1980,Downtown,Excellent,No," $8,18,103.00 "
I0814,697,1 BHK,1,1,No,1910,1900-1920,Rural,Fair,Yes," $9,20,181.00 "
I0815,3126,4 BHK,4,1,No,1930,1921-1940,Urban,Good,No," $2,83,127.00 "
I0816,1702,3 BHK,3,2,No,1948,1941-1960,Rural,Good,No," $5,54,434.00 "
I0817,2535,4 BHK,4,1,No,2011,2001-2020,Suburban,Good,Yes," $1,91,295.00 "
I0818,977,2 BHK,2,1,No,2002,2001-2020,Rural,Excellent,No," $2,29,238.00 "
